Name,State,AL,AK,AZ,AR,CA,CNMI,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,VI,WA,WV,WI,WY,Calculated SARA Total,Calculated non-SARA Total,Grand Total
Texas Tech University Health Sciences Center,TX,0,5,4,3,12,0,10,1,0,1,0,4,1,0,8,0,1,1,0,4,0,0,1,1,2,0,2,0,0,0,0,3,19,2,5,0,6,5,1,1,0,0,1,0,2,0,1,0,1,0,2,1,1,4,103,13,116
Texas Wesleyan University,TX,0,0,2,1,3,0,1,1,0,0,0,0,0,0,0,2,1,2,0,5,1,0,0,2,0,0,0,0,1,0,0,0,2,2,4,0,1,1,0,1,3,0,2,0,0,0,0,0,0,0,1,0,0,0,33,6,39
Texas Woman's University,TX,1,3,3,25,18,0,8,4,1,0,6,4,2,1,11,2,7,11,1,15,1,1,3,0,4,7,7,0,0,3,1,5,4,8,8,0,4,39,1,3,0,2,2,2,8,0,5,1,11,0,4,2,3,0,235,27,262
The Citadel,SC,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,6,0,1,0,0,0,24,0,24
The College of Health Care Professions,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
The College of New Jersey,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The College of Saint Rose,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
The College of Westchester,NY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
The College of William and Mary,VA,2,0,1,1,6,0,1,3,0,3,35,7,1,0,2,3,0,0,0,0,0,12,3,3,0,0,0,0,0,1,0,4,1,2,8,0,0,0,2,5,0,0,1,0,4,5,0,0,0,0,5,0,1,0,78,44,122
The John Marshall Law School,IL,1,0,1,0,3,0,0,1,0,1,1,2,1,0,0,3,1,0,0,0,0,2,0,0,2,0,1,0,1,1,0,0,0,2,0,0,3,1,1,0,0,1,1,0,2,11,2,0,1,0,0,1,2,0,46,4,50
