UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW
443951,R,32,R,19,R,13,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,32,R,19,R,13,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
443979,R,56,R,2,R,54,R,1,R,0,R,1,R,2,R,0,R,2,R,3,Z,0,R,3,R,2,R,0,R,2,R,0,R,0,R,0,R,45,R,2,R,43,R,2,R,0,R,2,R,1,R,0,R,1,R,0,Z,0,R,0
444024,R,362,R,63,R,299,R,4,R,0,R,4,R,25,R,6,R,19,R,49,R,13,R,36,R,29,R,5,R,24,R,17,R,2,R,15,R,169,R,21,R,148,R,26,R,4,R,22,R,43,R,12,R,31,R,0,R,0,R,0
444042,R,421,R,104,R,317,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,421,R,104,R,317,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444051,R,50,R,5,R,45,R,0,R,0,R,0,R,8,R,4,R,4,R,6,R,0,R,6,R,0,R,0,R,0,R,0,R,0,R,0,R,36,R,1,R,35,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
444088,R,117,R,18,R,99,R,10,R,1,R,9,R,1,Z,0,R,1,R,6,R,2,R,4,R,77,R,10,R,67,R,0,Z,0,Z,0,R,19,R,4,R,15,R,4,R,1,R,3,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444103,R,3,R,2,R,1,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,3,R,2,R,1,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444130,R,1830,R,725,R,1105,R,9,R,5,R,4,R,38,R,27,R,11,R,371,R,146,R,225,R,84,R,38,R,46,R,14,R,6,R,8,R,920,R,342,R,578,R,57,R,21,R,36,R,337,R,140,R,197,R,0,Z,0,Z,0
444194,R,197,R,8,R,189,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,197,R,8,R,189,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444200,R,191,R,26,R,165,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,78,R,11,R,67,R,11,R,1,R,10,R,0,Z,0,Z,0,R,98,R,14,R,84,R,3,Z,0,R,3,R,0,Z,0,Z,0,R,0,Z,0,Z,0
