UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN
139861,9,R,8,R,0,R,8,R,0,R,0,R,0,R,0,R,0,R,8,R,0,R,0,R,0,R,0,R,0,R,2,R,6,R,0
139861,10,R,84,R,21,R,63,R,0,R,0,R,35,R,0,R,0,R,48,R,1,R,0,R,0,R,0,R,0,R,54,R,30,R,0
139931,5,R,3175,R,1488,R,1687,R,20,R,32,R,798,R,116,R,4,R,2055,R,46,R,63,R,41,R,0,R,2685,R,427,R,63,R,0
139931,7,R,798,R,296,R,502,R,2,R,10,R,135,R,31,R,1,R,553,R,14,R,12,R,40,R,0,R,162,R,536,R,100,R,0
139931,9,R,50,R,16,R,34,R,0,R,1,R,20,R,0,R,0,R,27,R,0,R,0,R,2,R,0,R,0,R,26,R,24,R,0
139931,10,R,85,R,23,R,62,R,0,R,1,R,16,R,4,R,0,R,49,R,2,R,12,R,1,R,0,R,14,R,41,R,27,R,3
139940,1,R,99,R,30,R,69,R,0,R,7,R,33,R,8,R,0,R,38,R,8,R,2,R,3,R,0,R,66,R,27,R,6,R,0
139940,5,R,4569,R,1828,R,2741,R,6,R,478,R,1758,R,411,R,1,R,1486,R,237,R,97,R,95,R,0,R,3052,R,1349,R,168,R,0
139940,7,R,2083,R,804,R,1279,R,1,R,162,R,477,R,97,R,4,R,883,R,47,R,52,R,360,R,0,R,413,R,1417,R,253,R,0
139940,9,R,469,R,223,R,246,R,1,R,29,R,69,R,12,R,2,R,267,R,7,R,18,R,64,R,0,R,19,R,359,R,91,R,0
139940,10,R,111,R,33,R,78,R,0,R,3,R,28,R,13,R,0,R,55,R,2,R,2,R,8,R,0,R,16,R,65,R,30,R,0
139959,1,R,589,R,250,R,339,R,0,R,40,R,29,R,27,R,1,R,464,R,21,R,1,R,6,R,0,R,572,R,17,R,0,R,0
139959,2,R,15,R,5,R,10,R,0,R,2,R,1,R,0,R,0,R,11,R,1,R,0,R,0,R,0,R,13,R,2,R,0,R,0
139959,5,R,6545,R,2799,R,3746,R,6,R,563,R,477,R,321,R,6,R,4822,R,231,R,48,R,71,R,0,R,6008,R,501,R,36,R,0
139959,7,R,1601,R,606,R,995,R,3,R,56,R,145,R,38,R,2,R,1081,R,45,R,34,R,197,R,0,R,468,R,1012,R,121,R,0
139959,9,R,967,R,411,R,556,R,2,R,60,R,88,R,24,R,0,R,602,R,15,R,38,R,138,R,0,R,25,R,833,R,109,R,0
139959,10,R,175,R,42,R,133,R,0,R,5,R,26,R,5,R,0,R,109,R,8,R,3,R,19,R,0,R,12,R,114,R,49,R,0
139968,3,R,431,R,115,R,316,R,0,R,5,R,144,R,15,R,1,R,250,R,15,R,1,R,0,R,0,R,318,R,85,R,28,R,0
139968,5,R,181,R,25,R,156,R,0,R,3,R,45,R,6,R,0,R,118,R,6,R,2,R,1,R,0,R,92,R,68,R,21,R,0
139986,1,R,1063,R,487,R,576,R,4,R,18,R,419,R,24,R,1,R,577,R,9,R,9,R,2,R,15,R,414,R,379,R,255,R,0
139986,2,R,442,R,165,R,277,R,1,R,5,R,140,R,12,R,0,R,279,R,4,R,1,R,0,R,0,R,154,R,197,R,91,R,0
139986,3,R,268,R,89,R,179,R,0,R,6,R,103,R,12,R,0,R,143,R,2,R,2,R,0,R,0,R,85,R,117,R,66,R,0
139995,3,R,146,R,58,R,88,Z,0,Z,0,R,104,Z,0,Z,0,R,42,Z,0,Z,0,Z,0,R,0,R,70,R,50,R,26,Z,0
140003,2,R,44,R,2,R,42,Z,0,R,2,R,24,R,3,Z,0,R,11,Z,0,Z,0,R,4,R,0,R,2,R,20,R,20,R,2
140003,3,R,60,R,4,R,56,Z,0,R,1,R,38,R,5,Z,0,R,12,Z,0,Z,0,R,4,R,0,R,8,R,30,R,15,R,7
140012,1,R,1915,R,871,R,1044,R,7,R,166,R,602,R,235,R,3,R,743,R,43,R,97,R,19,R,2,R,570,R,851,R,492,R,0
140012,2,R,459,R,179,R,280,R,2,R,26,R,140,R,74,R,0,R,178,R,9,R,27,R,3,R,0,R,132,R,206,R,121,R,0
140012,3,R,669,R,276,R,393,R,1,R,55,R,169,R,83,R,0,R,303,R,18,R,37,R,3,R,0,R,140,R,339,R,190,R,0
140146,7,R,53,R,27,R,26,Z,0,Z,0,R,51,Z,0,Z,0,R,1,Z,0,Z,0,R,1,R,0,R,0,R,20,R,33,R,0
140146,9,R,8,R,3,R,5,Z,0,Z,0,R,7,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,0,R,0,R,1,R,7,Z,0
140234,5,R,171,R,57,R,114,R,1,R,1,R,36,R,2,Z,0,R,121,R,8,Z,0,R,2,R,0,R,133,R,31,R,7,R,0
140234,7,R,54,R,16,R,38,Z,0,Z,0,R,6,R,1,Z,0,R,45,Z,0,R,2,R,0,R,0,R,6,R,26,R,22,R,0
140243,1,R,777,R,392,R,385,R,1,R,15,R,62,R,93,R,1,R,580,R,12,R,2,R,11,R,1,R,370,R,288,R,118,R,0
140243,2,R,421,R,137,R,284,R,1,R,10,R,40,R,55,R,1,R,308,R,3,R,0,R,3,R,0,R,174,R,175,R,72,R,0
140243,3,R,244,R,85,R,159,R,0,R,8,R,21,R,22,R,1,R,189,R,2,R,1,R,0,R,0,R,80,R,108,R,56,R,0
140252,3,R,4,R,1,R,3,R,0,R,0,R,2,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,1,R,2,R,1,Z,0
140252,5,R,110,R,53,R,57,R,0,R,4,R,22,R,8,R,0,R,66,R,0,R,4,R,6,R,0,R,28,R,73,R,9,R,0
140252,7,R,37,R,18,R,19,R,0,R,1,R,15,R,3,R,0,R,13,R,0,R,1,R,4,R,0,R,4,R,30,R,3,Z,0
140252,9,R,378,R,207,R,171,R,1,R,10,R,49,R,53,R,0,R,237,R,0,R,14,R,14,R,0,R,2,R,355,R,21,R,0
140331,1,R,2584,R,1492,R,1092,R,19,R,72,R,636,R,232,R,5,R,1537,R,35,R,26,R,22,R,5,R,1227,R,920,R,432,R,0
140331,2,R,561,R,260,R,301,R,4,R,9,R,129,R,40,R,0,R,360,R,10,R,4,R,5,R,0,R,186,R,252,R,123,R,0
140331,3,R,569,R,264,R,305,R,6,R,8,R,122,R,37,R,1,R,374,R,8,R,4,R,9,R,0,R,162,R,287,R,120,R,0
140340,2,R,13,R,7,R,6,Z,0,R,1,R,12,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,8,R,5,Z,0
140340,3,R,40,R,18,R,22,Z,0,R,13,R,15,Z,0,Z,0,R,2,R,1,R,9,Z,0,Z,0,R,21,R,13,R,6,Z,0
140340,5,R,64,R,24,R,40,Z,0,R,10,R,42,Z,0,Z,0,R,8,R,3,R,1,Z,0,Z,0,R,7,R,36,R,21,Z,0
140340,7,R,67,R,45,R,22,Z,0,R,45,R,18,R,1,Z,0,R,1,R,2,Z,0,Z,0,Z,0,R,20,R,33,R,14,Z,0
140447,5,R,917,R,346,R,571,R,9,R,57,R,275,R,36,R,2,R,443,R,19,R,42,R,34,R,0,R,516,R,236,R,165,R,0
140447,7,R,858,R,305,R,553,R,3,R,48,R,277,R,29,R,1,R,397,R,9,R,48,R,46,R,0,R,135,R,559,R,164,R,0
140447,9,R,518,R,226,R,292,R,3,R,61,R,85,R,16,R,1,R,306,R,12,R,27,R,7,R,0,R,31,R,437,R,50,R,0
140447,10,R,59,R,13,R,46,R,0,R,1,R,32,R,1,R,0,R,20,R,0,R,5,R,0,R,0,R,0,R,39,R,20,R,0
140553,1,R,55,R,55,R,0,Z,0,Z,0,R,44,Z,0,Z,0,Z,0,Z,0,R,4,R,7,R,0,R,51,R,4,R,0,R,0
140553,5,R,330,R,330,R,0,Z,0,Z,0,R,300,R,1,Z,0,Z,0,Z,0,R,12,R,17,R,0,R,302,R,28,R,0,R,0
140562,7,R,50,R,17,R,33,Z,0,R,2,R,43,R,2,Z,0,Z,0,R,1,R,2,Z,0,Z,0,R,18,R,31,R,1,Z,0
140562,9,R,64,R,32,R,32,Z,0,R,16,R,30,R,9,Z,0,R,3,R,4,R,2,Z,0,Z,0,Z,0,R,63,R,1,Z,0
140678,1,R,358,R,190,R,168,R,1,R,1,R,25,R,15,R,0,R,305,R,7,R,3,R,1,R,0,R,197,R,105,R,56,R,0
140678,2,R,286,R,120,R,166,R,0,R,1,R,20,R,17,R,0,R,239,R,6,R,2,R,1,R,0,R,138,R,100,R,48,R,0
140678,3,R,182,R,71,R,111,R,0,R,3,R,12,R,7,R,0,R,159,R,0,R,1,R,0,R,0,R,76,R,68,R,38,R,0
140696,5,R,188,R,64,R,124,R,1,R,6,R,29,R,18,R,0,R,71,R,4,R,49,R,10,R,0,R,177,R,9,R,2,R,0
